Date,Open,High,Low,Close,perct
1990-07-03,0.0,0.0,0.0,279.02,
1990-07-05,0.0,0.0,0.0,284.04,
1990-07-06,0.0,0.0,0.0,289.04,
1990-07-09,0.0,0.0,0.0,289.69,
1990-07-10,0.0,0.0,0.0,288.69,
1990-07-11,0.0,0.0,0.0,293.3,
1990-07-12,0.0,0.0,0.0,296.21,
1990-07-13,0.0,0.0,0.0,296.34,
1990-07-16,0.0,0.0,0.0,287.96,
1990-07-17,0.0,0.0,0.0,295.39,
1990-07-18,0.0,0.0,0.0,298.23,
1990-07-19,0.0,0.0,0.0,301.5,
1990-07-20,0.0,0.0,0.0,302.59,
1990-07-25,0.0,0.0,0.0,321.76,
1990-07-26,0.0,0.0,0.0,323.58,
1990-07-27,0.0,0.0,0.0,329.65,
1990-07-30,0.0,0.0,0.0,347.44,
1990-08-03,0.0,0.0,0.0,337.29,
1990-08-07,0.0,0.0,0.0,331.45,
1990-08-08,0.0,0.0,0.0,322.11,
1990-08-09,0.0,0.0,0.0,325.69,
1990-08-10,0.0,0.0,0.0,333.35,
1990-08-13,0.0,0.0,0.0,348.98,
1990-08-16,0.0,0.0,0.0,349.39,
1990-08-17,0.0,0.0,0.0,347.99,24.71865816070533
1990-08-20,0.0,0.0,0.0,353.19,24.34516265314744
1990-08-21,0.0,0.0,0.0,363.66,25.816495986714642
1990-08-22,0.0,0.0,0.0,369.95,27.70547826987469
1990-08-23,0.0,0.0,0.0,368.14,27.520870137517733
1990-08-27,0.0,0.0,0.0,384.78,31.189907944084553
1990-08-28,0.0,0.0,0.0,384.39,29.76942034367508
1990-08-29,0.0,0.0,0.0,384.88,29.877843018154834
1990-08-30,0.0,0.0,0.0,400.06,38.92901791915543
1990-09-03,0.0,0.0,0.0,407.13,37.82795626121401
1990-09-04,0.0,0.0,0.0,392.47,31.599771988062884
1990-09-05,0.0,0.0,0.0,389.82,29.293532338308438
1990-09-06,0.0,0.0,0.0,396.51,31.038699229981177
1990-09-07,0.0,0.0,0.0,404.11,25.593610144206863
1990-09-10,0.0,0.0,0.0,411.11,27.050497558563592
1990-09-11,0.0,0.0,0.0,422.07,28.03579554072502
1990-09-12,0.0,0.0,0.0,414.16,19.203315680405254
1990-09-14,0.0,0.0,0.0,396.5,17.554626582466113
1990-09-18,0.0,0.0,0.0,415.18,25.26172876753658
