Date,Open,High,Low,Close,perct
1990-07-03,0.0,0.0,0.0,279.02,
1990-07-05,0.0,0.0,0.0,284.04,
1990-07-06,0.0,0.0,0.0,289.04,
1990-07-09,0.0,0.0,0.0,289.69,
1990-07-10,0.0,0.0,0.0,288.69,
1990-07-11,0.0,0.0,0.0,293.3,
1990-07-12,0.0,0.0,0.0,296.21,
1990-07-13,0.0,0.0,0.0,296.34,
1990-07-16,0.0,0.0,0.0,287.96,
1990-07-17,0.0,0.0,0.0,295.39,
1990-07-18,0.0,0.0,0.0,298.23,
1990-07-19,0.0,0.0,0.0,301.5,
1990-07-20,0.0,0.0,0.0,302.59,
1990-07-25,0.0,0.0,0.0,321.76,
1990-07-26,0.0,0.0,0.0,323.58,
1990-07-27,0.0,0.0,0.0,329.65,
1990-07-30,0.0,0.0,0.0,347.44,24.52153967457531
1990-08-03,0.0,0.0,0.0,337.29,18.747359526827196
1990-08-07,0.0,0.0,0.0,331.45,14.672709659562685
1990-08-08,0.0,0.0,0.0,322.11,11.191273430218502
1990-08-09,0.0,0.0,0.0,325.69,12.816515986005754
1990-08-10,0.0,0.0,0.0,333.35,13.65496079099897
1990-08-13,0.0,0.0,0.0,348.98,17.815063637284382
1990-08-16,0.0,0.0,0.0,349.39,17.901734494162127
1990-08-17,0.0,0.0,0.0,347.99,20.846645367412137
1990-08-20,0.0,0.0,0.0,353.19,19.567351636819126
1990-08-21,0.0,0.0,0.0,363.66,21.93944271200081
1990-08-22,0.0,0.0,0.0,369.95,22.703150912106125
1990-08-23,0.0,0.0,0.0,368.14,21.66297630457055
1990-08-27,0.0,0.0,0.0,384.78,19.586026852312273
1990-08-28,0.0,0.0,0.0,384.39,18.792879658817
1990-08-29,0.0,0.0,0.0,384.88,16.75413317154559
1990-08-30,0.0,0.0,0.0,400.06,15.145061017729674
1990-09-03,0.0,0.0,0.0,407.13,20.706217201814454
1990-09-04,0.0,0.0,0.0,392.47,18.41001659375472
1990-09-05,0.0,0.0,0.0,389.82,21.02076930241222
1990-09-06,0.0,0.0,0.0,396.51,21.744603764315755
1990-09-07,0.0,0.0,0.0,404.11,21.22693865306735
1990-09-10,0.0,0.0,0.0,411.11,17.8033125107456
1990-09-11,0.0,0.0,0.0,422.07,20.80196914622627
1990-09-12,0.0,0.0,0.0,414.16,19.014914221673052
