Date,Open,High,Low,Close,perct
1990-07-03,0.0,0.0,0.0,279.02,
1990-07-05,0.0,0.0,0.0,284.04,
1990-07-06,0.0,0.0,0.0,289.04,
1990-07-09,0.0,0.0,0.0,289.69,
1990-07-10,0.0,0.0,0.0,288.69,
1990-07-11,0.0,0.0,0.0,293.3,
1990-07-12,0.0,0.0,0.0,296.21,
1990-07-13,0.0,0.0,0.0,296.34,
1990-07-16,0.0,0.0,0.0,287.96,
1990-07-17,0.0,0.0,0.0,295.39,
1990-07-18,0.0,0.0,0.0,298.23,
1990-07-19,0.0,0.0,0.0,301.5,
1990-07-20,0.0,0.0,0.0,302.59,8.447423123790415
1990-07-25,0.0,0.0,0.0,321.76,13.279819743698056
1990-07-26,0.0,0.0,0.0,323.58,11.94990312759478
1990-07-27,0.0,0.0,0.0,329.65,13.794055714729538
1990-07-30,0.0,0.0,0.0,347.44,20.350549031833467
1990-08-03,0.0,0.0,0.0,337.29,14.998295260825103
1990-08-07,0.0,0.0,0.0,331.45,11.896964991053636
1990-08-08,0.0,0.0,0.0,322.11,8.696092326381859
1990-08-09,0.0,0.0,0.0,325.69,13.10251423808863
1990-08-10,0.0,0.0,0.0,333.35,12.850807407156651
1990-08-13,0.0,0.0,0.0,348.98,17.01706736411495
1990-08-16,0.0,0.0,0.0,349.39,15.883913764510766
1990-08-17,0.0,0.0,0.0,347.99,15.003800522158713
1990-08-20,0.0,0.0,0.0,353.19,9.768150174042773
1990-08-21,0.0,0.0,0.0,363.66,12.38642684961988
1990-08-22,0.0,0.0,0.0,369.95,12.225087213711518
1990-08-23,0.0,0.0,0.0,368.14,5.957863228183285
1990-08-27,0.0,0.0,0.0,384.78,14.079871920305948
1990-08-28,0.0,0.0,0.0,384.39,15.97224317393271
1990-08-29,0.0,0.0,0.0,384.88,19.48713172518704
1990-08-30,0.0,0.0,0.0,400.06,22.83459731646657
1990-09-03,0.0,0.0,0.0,407.13,22.132893355332214
1990-09-04,0.0,0.0,0.0,392.47,12.46203220814948
1990-09-05,0.0,0.0,0.0,389.82,11.57159621053836
1990-09-06,0.0,0.0,0.0,396.51,13.942929394522821
1990-09-07,0.0,0.0,0.0,404.11,14.417169229026868
1990-09-10,0.0,0.0,0.0,411.11,13.047901886377389
1990-09-11,0.0,0.0,0.0,422.07,14.088390323016625
